ID,Warehouse_block,Product_importance,Gender,Cost_of_the_Product,Prior_purchases,Discount_offered
AM001,B,medium,F,4804,25,10
AM002,C,high,F,4975,23,21
AM003,E,medium,M,2075,16,8
AM004,B,high,F,2938,50,9
AM005,E,high,F,3097,31,11
AM006,E,medium,F,2857,8,18
AM007,B,medium,M,3327,50,25
AM008,C,medium,F,2856,46,2
AM009,E,medium,F,4424,14,6
AM010,E,low,M,1624,7,19
AM011,E,low,M,915,43,28
AM012,C,high,F,930,7,13
AM013,B,low,M,1323,44,24
AM014,D,medium,M,3833,42,29
AM015,A,low,M,2853,21,9
AM016,A,low,F,4883,48,23
AM017,D,medium,M,1940,3,26
AM018,C,high,M,2871,3,0
AM019,E,high,F,3244,19,14
AM020,C,low,M,1599,33,14
AM021,D,high,F,3208,11,23
AM022,C,medium,M,2025,1,23
AM023,D,medium,F,1937,40,27
AM024,A,low,M,1210,26,21
AM025,B,low,F,4411,21,29
AM026,C,medium,F,3642,16,14
AM027,C,high,M,593,17,20
AM028,D,medium,M,1008,43,3
AM029,C,high,M,3821,44,16
AM030,B,low,M,2916,24,19
AM031,E,medium,F,4417,10,14
AM032,E,high,M,4999,31,24
AM033,E,low,F,2527,44,24
AM034,A,high,M,4826,46,11
AM035,E,low,M,1005,36,28
AM036,E,medium,M,1847,21,27
AM037,D,low,F,2182,46,18
AM038,E,medium,F,955,30,4
AM039,C,high,M,972,36,14
AM040,A,high,M,3743,17,26
AM041,C,high,M,1098,3,13
AM042,A,medium,M,4933,4,29
AM043,B,high,F,2851,27,5
AM044,D,medium,M,3567,25,14
AM045,C,low,M,4917,9,20
AM046,B,high,M,4901,26,16
AM047,C,medium,F,528,49,0
AM048,B,low,F,4857,25,26
AM049,B,high,M,3335,10,8
AM050,E,low,M,763,43,13
AM051,E,low,F,2188,5,3
AM052,A,medium,F,898,16,23
AM053,A,low,F,2419,35,6
AM054,C,high,F,2418,47,18
AM055,B,high,M,2440,20,28
AM056,A,high,M,3887,20,8
AM057,A,medium,F,3999,36,15
AM058,D,medium,M,4796,21,22
AM059,E,medium,M,2956,25,5
AM060,B,medium,M,2346,20,27
AM061,E,low,F,3880,27,17
AM062,C,high,M,2489,17,6
AM063,E,high,M,4184,24,2
AM064,E,high,M,922,18,12
AM065,E,high,M,1096,13,25
AM066,C,medium,M,4427,14,27
AM067,A,high,F,2235,13,30
AM068,B,medium,M,2487,45,19
AM069,D,medium,F,3134,50,9
AM070,E,medium,F,3026,17,11
AM071,C,low,F,1307,47,15
AM072,E,low,M,3063,27,1
AM073,E,high,F,632,17,17
AM074,C,low,F,2918,10,6
AM075,C,medium,F,2513,32,17
AM076,C,low,M,4518,30,5
AM077,E,high,M,4977,32,5
AM078,A,high,M,4792,3,26
AM079,B,low,M,552,27,4
AM080,D,medium,M,574,14,16
AM081,A,low,F,4458,43,15
AM082,C,high,F,597,2,16
AM083,D,low,M,640,33,26
AM084,B,low,F,1289,34,4
AM085,D,low,F,3403,18,25
AM086,B,high,M,3826,30,18
AM087,A,high,M,2957,44,26
AM088,D,high,F,1265,26,12
AM089,B,low,F,959,41,0
AM090,C,high,M,4054,42,25
AM091,B,high,F,4826,3,7
AM092,A,high,F,2720,3,29
AM093,A,low,F,4948,37,21
AM094,B,high,F,628,14,18
AM095,E,low,F,1130,20,5
AM096,B,high,M,4928,22,12
AM097,A,low,F,4602,48,11
AM098,E,high,F,2401,5,10
AM099,C,medium,F,3173,2,20
AM100,D,medium,M,2368,23,17
