ID,Warehouse_block,Product_importance,Gender,Cost_of_the_Product,Prior_purchases,Discount_offered
CA001,C,low,M,1170487,8,0
CA002,E,low,F,646316,48,3
CA003,B,low,M,533326,2,2
CA004,E,medium,M,1088508,13,22
CA005,A,low,F,971029,38,8
CA006,B,medium,M,856778,18,4
CA007,C,medium,F,597251,25,3
CA008,D,high,M,1346335,3,23
CA009,E,medium,F,1467096,25,2
CA010,A,low,M,1105397,13,22
CA011,B,low,F,1310620,19,2
CA012,C,low,F,791476,30,20
CA013,C,high,M,872528,14,21
CA014,E,high,M,1138720,41,5
CA015,C,high,M,671339,30,12
CA016,A,low,M,1217870,21,26
CA017,C,low,M,1344151,21,12
CA018,C,low,F,1457492,37,28
CA019,B,medium,M,914850,42,14
CA020,E,medium,F,758607,48,17
CA021,C,low,M,1441435,38,12
CA022,A,low,M,1034277,32,2
CA023,D,high,M,1157924,11,25
CA024,D,high,F,903457,25,19
CA025,A,high,F,1080099,1,21
CA026,A,medium,F,1305934,42,10
CA027,C,high,M,665840,30,0
CA028,C,high,M,1032342,7,27
CA029,B,high,M,660263,24,24
CA030,A,low,F,1128038,21,15
CA031,A,low,M,1421406,20,7
CA032,A,high,M,589814,47,15
CA033,E,low,F,634628,43,15
CA034,B,high,M,1053306,39,13
CA035,C,medium,F,1247581,20,12
CA036,A,medium,M,626882,16,7
CA037,E,low,M,1116886,36,7
CA038,A,low,M,574441,46,20
CA039,C,low,M,1449401,3,27
CA040,B,high,M,792004,43,15
CA041,D,low,F,1258490,37,18
CA042,A,low,F,1346721,27,6
CA043,D,high,M,871507,28,13
CA044,A,low,F,1206073,42,20
CA045,A,low,M,1263587,22,25
CA046,B,medium,M,699448,35,14
CA047,A,medium,M,792075,30,7
CA048,A,low,M,553045,42,17
CA049,D,low,F,674389,27,15
CA050,D,low,F,1446279,4,5
CA051,D,high,F,778085,30,9
CA052,B,low,M,662316,13,9
CA053,A,high,F,1284309,21,1
CA054,A,high,M,1027276,34,5
CA055,E,low,M,1392697,12,2
CA056,E,low,M,923389,8,30
CA057,E,high,F,1149468,6,13
CA058,C,low,F,1480110,17,6
CA059,C,medium,F,915011,9,21
CA060,A,low,F,1474146,49,29
CA061,A,high,M,1151332,37,3
CA062,C,low,M,1030458,17,4
CA063,D,high,F,887477,19,5
CA064,A,high,F,1141390,42,16
CA065,B,medium,M,1477017,43,3
CA066,E,low,F,1432931,7,23
CA067,C,low,F,795442,39,6
CA068,A,low,F,1029959,32,8
CA069,A,medium,M,1369634,18,1
CA070,D,high,F,1168061,17,5
CA071,A,high,M,1088153,1,3
CA072,C,high,M,1072092,3,26
CA073,C,medium,M,950664,9,1
CA074,B,high,M,1442590,23,6
CA075,D,high,M,870858,50,17
CA076,B,low,F,1470733,16,27
CA077,C,medium,M,525990,12,23
CA078,A,medium,M,779766,11,25
CA079,B,medium,F,1400300,31,7
CA080,A,high,M,820015,15,7
CA081,A,medium,F,917821,22,8
CA082,E,medium,M,1172642,33,12
CA083,E,medium,M,620944,17,5
CA084,C,high,F,613668,39,13
CA085,A,medium,M,957592,39,16
CA086,D,low,M,767095,3,22
CA087,C,high,F,881913,28,2
CA088,C,high,F,1195612,8,23
CA089,D,high,F,1199287,27,10
CA090,D,high,F,1081343,9,6
CA091,B,high,F,1210219,48,28
CA092,A,medium,F,925800,36,26
CA093,E,high,F,720392,28,25
CA094,B,high,F,987575,29,14
CA095,A,medium,F,1332291,48,5
CA096,C,low,M,597923,49,7
CA097,B,medium,M,654511,2,1
CA098,E,low,F,977538,27,28
CA099,B,high,M,1018392,26,7
CA100,A,medium,M,1436021,49,27
