ID,Warehouse_block,Product_importance,Gender,Cost_of_the_Product,Prior_purchases,Discount_offered
LA001,D,high,F,130851,19,24
LA002,E,low,F,51241,13,25
LA003,C,high,M,36839,42,15
LA004,A,medium,M,123244,34,27
LA005,D,high,M,130023,11,8
LA006,B,medium,F,138926,28,2
LA007,D,high,F,33495,27,1
LA008,C,low,M,60903,25,2
LA009,C,low,M,71770,7,26
LA010,D,high,M,35020,19,29
LA011,D,high,M,129462,46,15
LA012,C,low,M,148732,6,0
LA013,E,medium,M,101932,47,19
LA014,C,low,M,131734,19,7
LA015,E,medium,M,61252,27,20
LA016,E,low,M,44530,32,19
LA017,D,low,F,124181,10,9
LA018,B,high,M,61531,37,13
LA019,E,high,M,98614,24,2
LA020,D,medium,F,81177,31,1
LA021,A,medium,M,127952,2,11
LA022,A,high,F,126068,43,20
LA023,E,medium,M,47486,3,11
LA024,D,high,F,138840,50,21
LA025,B,low,F,112802,12,25
LA026,A,low,M,34847,19,6
LA027,D,high,F,71365,20,16
LA028,B,medium,F,63202,3,24
LA029,C,medium,M,143002,50,1
LA030,D,high,F,134771,24,13
LA031,B,medium,F,147261,25,10
LA032,A,high,F,78148,34,8
LA033,B,high,F,40345,28,19
LA034,C,high,F,72101,7,2
LA035,D,low,F,70173,29,19
LA036,C,high,F,76077,29,1
LA037,A,low,F,65986,41,25
LA038,B,low,M,77619,33,25
LA039,D,low,M,141236,39,21
LA040,C,medium,F,38812,16,24
LA041,B,high,F,104349,3,19
LA042,A,high,M,78623,24,14
LA043,C,high,F,99397,24,12
LA044,B,medium,F,62717,8,0
LA045,C,medium,F,149739,36,3
LA046,D,low,M,58124,40,9
LA047,B,high,F,47790,5,14
LA048,C,high,F,41506,44,30
LA049,E,medium,F,123000,5,17
LA050,B,medium,M,141589,11,22
LA051,B,low,F,45907,13,25
LA052,E,medium,F,33445,24,17
LA053,E,low,M,135337,36,4
LA054,D,high,F,70539,26,22
LA055,E,low,M,130815,27,26
LA056,D,medium,F,71553,42,2
LA057,E,low,M,46821,50,17
LA058,A,low,M,86704,33,29
LA059,C,high,M,69862,11,5
LA060,C,low,F,75353,34,28
LA061,E,medium,M,55729,41,30
LA062,E,low,M,111922,20,19
LA063,B,high,F,107569,38,4
LA064,A,low,M,140432,37,1
LA065,C,high,M,114076,50,18
LA066,E,high,M,130526,37,13
LA067,C,high,F,95278,41,17
LA068,D,medium,F,93300,16,25
LA069,B,medium,F,39564,45,1
LA070,C,high,M,93471,30,6
LA071,C,medium,M,70970,46,10
LA072,E,low,F,129701,24,16
LA073,C,medium,M,61685,30,3
LA074,C,medium,F,48465,7,1
LA075,C,high,F,62541,11,26
LA076,D,high,F,54881,49,5
LA077,A,low,F,95373,20,15
LA078,B,low,F,96249,30,30
LA079,D,high,F,36377,4,9
LA080,A,medium,M,67453,35,0
LA081,C,medium,F,145665,17,23
LA082,E,high,M,35930,26,1
LA083,A,medium,F,77516,36,9
LA084,E,high,M,130191,36,8
LA085,C,medium,F,46864,7,12
LA086,E,high,F,128954,10,6
LA087,A,low,F,95546,3,1
LA088,D,low,M,135377,31,16
LA089,B,medium,F,72987,40,10
LA090,E,high,F,107820,22,16
LA091,D,low,F,122895,37,9
LA092,D,high,F,73416,44,3
LA093,A,high,F,134432,47,27
LA094,E,high,M,64803,42,25
LA095,D,low,F,124555,4,18
LA096,A,high,M,49369,44,7
LA097,C,medium,M,55006,2,14
LA098,D,high,F,84127,45,6
LA099,A,high,M,144401,48,23
LA100,C,high,F,97984,14,17
