ID,Warehouse_block,Product_importance,Gender,Cost_of_the_Product,Prior_purchases,Discount_offered
MO001,B,medium,F,73230,38,4
MO002,A,medium,F,68236,17,21
MO003,D,medium,F,79643,11,2
MO004,D,medium,M,63615,45,8
MO005,B,medium,F,58422,31,3
MO006,A,high,F,46780,45,9
MO007,A,high,F,43976,1,18
MO008,B,high,F,45512,50,25
MO009,E,medium,M,36705,41,6
MO010,A,medium,F,20735,41,20
MO011,B,low,F,12373,38,11
MO012,B,low,M,50823,48,13
MO013,E,medium,M,78701,24,16
MO014,C,high,F,41681,31,30
MO015,A,low,M,23095,30,30
MO016,A,medium,M,60089,36,11
MO017,D,medium,F,42663,35,3
MO018,C,low,M,57941,41,30
MO019,E,medium,M,69797,2,19
MO020,D,high,F,16285,41,26
MO021,A,low,F,61516,8,4
MO022,B,high,M,72569,8,3
MO023,E,medium,M,58940,30,11
MO024,D,high,F,62379,42,3
MO025,C,low,F,44666,3,22
MO026,C,low,F,66287,16,27
MO027,A,medium,F,79364,42,11
MO028,D,low,M,32878,8,30
MO029,C,low,M,10799,4,25
MO030,E,low,M,34896,5,26
MO031,B,high,M,38539,22,24
MO032,E,medium,M,44342,10,4
MO033,A,low,M,22408,43,27
MO034,C,low,M,54955,16,18
MO035,D,high,M,42782,4,4
MO036,C,high,M,16330,31,14
MO037,E,low,F,67245,33,7
MO038,A,low,F,68036,42,30
MO039,A,medium,F,60640,28,21
MO040,E,low,M,17632,6,10
MO041,E,high,F,24540,18,19
MO042,C,medium,F,57925,39,16
MO043,E,high,M,20999,45,3
MO044,B,medium,F,64370,29,28
MO045,A,medium,F,67441,26,13
MO046,C,low,F,48963,43,8
MO047,A,low,F,16799,6,26
MO048,C,low,M,20656,48,23
MO049,D,medium,F,51207,43,3
MO050,C,medium,M,14743,19,19
MO051,D,low,M,74507,14,4
MO052,A,medium,M,53890,36,11
MO053,E,high,M,64244,36,24
MO054,C,high,F,43054,2,5
MO055,B,low,F,52541,23,0
MO056,A,low,M,17120,10,23
MO057,C,low,F,57308,27,14
MO058,E,high,M,48846,47,10
MO059,E,low,M,14895,10,5
MO060,D,medium,F,43665,29,21
MO061,E,low,F,62287,18,6
MO062,E,medium,F,64349,8,9
MO063,E,low,M,13952,15,12
MO064,B,low,F,34794,20,30
MO065,A,medium,F,45938,21,3
MO066,E,high,M,31028,9,12
MO067,C,low,F,73570,36,26
MO068,D,low,F,13544,28,0
MO069,D,medium,M,64267,37,12
MO070,C,low,F,61088,2,30
MO071,A,low,F,55428,6,13
MO072,D,medium,F,60487,34,2
MO073,B,low,M,37041,22,24
MO074,C,medium,M,77547,33,6
MO075,C,low,M,38968,7,4
MO076,A,low,F,28036,49,24
MO077,E,medium,F,68811,49,18
MO078,A,medium,F,49436,10,14
MO079,A,medium,M,47691,18,18
MO080,A,low,F,48685,30,14
MO081,A,high,F,45627,5,20
MO082,A,medium,M,68648,38,17
MO083,E,low,M,50143,39,15
MO084,C,high,M,67050,7,25
MO085,A,low,F,74132,42,5
MO086,E,low,F,65595,34,16
MO087,D,medium,M,56870,19,12
MO088,A,high,F,51863,5,10
MO089,E,low,F,45243,17,23
MO090,B,medium,F,18682,38,21
MO091,A,medium,F,59374,9,19
MO092,E,low,F,51054,9,21
MO093,C,medium,M,74648,24,0
MO094,D,low,M,36074,22,30
MO095,C,low,M,26030,10,2
MO096,B,high,F,52140,50,19
MO097,E,low,F,28218,11,5
MO098,B,medium,F,13726,27,11
MO099,B,medium,F,66841,15,17
MO100,E,medium,F,33430,24,21
